web-scraper-order,web-scraper-start-url,video-name,video-name-href
"1594627053-4158","https://www.youtube.com/c/YourQuoteApp/videos","'Aaj Kal' & 'Vaishya' by Virendra Mehta | Hindi Poetry | YQ - Jaipur (Open Mic 1)","https://www.youtube.com/watch?v=7BaFwcmyLbo"
"1594627053-3719","https://www.youtube.com/c/YourQuoteApp/videos","'Dignity' & More by Vindhya Mukherjee | English Poetry | YourQuote - Kolkata (Open Mic 2)","https://www.youtube.com/watch?v=9Q424NtGPOI"
"1594627053-3566","https://www.youtube.com/c/YourQuoteApp/videos","'Shells' & 'Battles' by Akshay Rathore | English Poetry | YourQuote - Pune (Open Mic 2)","https://www.youtube.com/watch?v=rj7g2jVLEIw"
"1594627053-2989","https://www.youtube.com/c/YourQuoteApp/videos","'Haara Hua Ishwar' by Deepak Talab | Urdu Poetry | YourQuote In-House","https://www.youtube.com/watch?v=Hapb7W26k9o"
"1594627053-3762","https://www.youtube.com/c/YourQuoteApp/videos","'Neela Kurta' by Gaurav Sharma | Hindi Story | YourQuote - Mumbai (Open Mic 4)","https://www.youtube.com/watch?v=NZ_X90cbM1Q"
"1594627053-3503","https://www.youtube.com/c/YourQuoteApp/videos","'Subhash Chandra Bose' & 'Baba' by Paras Choudhary | Hindi Poetry | YourQuote - Indore (Open Mic 3)","https://www.youtube.com/watch?v=5S7ecJXDTww"
"1594627053-3477","https://www.youtube.com/c/YourQuoteApp/videos","'Darr Se Meri Jung' by Shruti Mishra | Hindi Poetry | YourQuote - Ashoka University (Open Mic 2)","https://www.youtube.com/watch?v=UaYosXmksh8"
"1594627053-3916","https://www.youtube.com/c/YourQuoteApp/videos","'An Exclusive Lane' by Pakhi Gauba | English Poetry | YQ - Jaipur (Open Mic 2)","https://www.youtube.com/watch?v=InLaJlbUkAc"
"1594627053-3913","https://www.youtube.com/c/YourQuoteApp/videos","'Things I Have Been Taught As A Child' by Shubhi Khare | English Poetry | YQ - Jaipur (Open Mic 2)","https://www.youtube.com/watch?v=zGAsQ_aXChc"
"1594627053-3354","https://www.youtube.com/c/YourQuoteApp/videos","Indian Families On Choosing A Career by Sandeep Joshi | Stand-Up Comedy | YQ - Gurugram (Open Mic 1)","https://www.youtube.com/watch?v=IlozQMm746g"
"1594627053-3317","https://www.youtube.com/c/YourQuoteApp/videos","'Fir Tumhari Yaad Aaye' by Abhishek Nagar | Hindi Poetry | YourQuote - Bhopal (Open Mic 2)","https://www.youtube.com/watch?v=TX-ZXyjflE0"
"1594627053-3658","https://www.youtube.com/c/YourQuoteApp/videos","'Ek Vishwas' & 'Insaan: Ek Dharm' by Shitanshu Gupta | Hindi Poetry | YQ - New Delhi (Open Mic 4)","https://www.youtube.com/watch?v=04BpaOyNexw"
"1594627053-3561","https://www.youtube.com/c/YourQuoteApp/videos","'Jo Hua So Hua' by Mahima Kaushik | Hindi Poetry | YourQuote - Pune (Open Mic 2)","https://www.youtube.com/watch?v=w7XA4jziy6k"
"1594627053-3963","https://www.youtube.com/c/YourQuoteApp/videos","'Wedded To An Army Man' by Durga Kanna | English Poetry | YQ - Bengaluru (Open Mic 2)","https://www.youtube.com/watch?v=UgX-PFXDxs8"
"1594627053-4044","https://www.youtube.com/c/YourQuoteApp/videos","'Seeking You' & 'Sapne' by Bhavya Satpathi | English & Hindi Poetry | YQ - Raipur (Open Mic 2)","https://www.youtube.com/watch?v=mqj21XXqIiA"
"1594627053-4198","https://www.youtube.com/c/YourQuoteApp/videos","'Samandar' by Pardeep Chahal | Hindi Poetry | YQ - New Delhi (Open Mic 1)","https://www.youtube.com/watch?v=UByMg4AU6QE"
